Id, speed,acceleration,positionY,Gap,TimeGap,positionY,positionY,
1865965,3.421017402,0,480.0250106,2.736813922,3.639846743,907.305,526.2063421,
1865965,2.612934861,0,483.2453519,2.090347889,3.380782918,910.015,527.6218338,
1865965,1.804851634,0,485.6576116,1.443881307,3.156146179,912.925,528.2292423,
1865965,0.996768316,0,487.2617883,0.797414653,2.959501558,916.035,528.3192461,
1865965,0.188684985,0,488.0578818,0.150947988,2.785923754,919.345,528.3314268,
1865965,0.025535742,0,488.2778835,0.020428594,2.631578947,922.855,528.3330753,
1865965,0.003455888,0,488.3233698,0.00276471,2.429667519,926.615,528.3332984,
1865965,4.68E-04,0,488.3316521,0.0003744,2.256532067,930.675,528.3333286,
1865965,6.33E-05,0,488.3330607,0.00005064,2.106430155,935.035,528.3333327,
1865965,8.57E-06,0,488.3332903,0.000006856,1.975051975,939.695,528.3333332,
1865965,1.16E-06,0,488.3333267,0.000000928,1.859099804,944.655,528.3333333,
1865965,1.57E-07,0,488.3333323,1.256E-07,1.756007394,949.915,528.3333333,
1865965,2.12E-08,0,488.3333332,1.696E-08,1.663747811,955.475,528.3333333,
1865965,2.87E-09,0,488.3333333,2.296E-09,1.580698835,961.335,528.3333333,
1865965,3.89E-10,0,488.3333333,3.112E-10,1.482059282,967.545,528.3333333,
1865965,5.26E-11,0,488.3333333,4.208E-11,1.395007342,974.155,528.3333333,
1865965,7.12E-12,0,488.3333333,5.696E-12,1.317614424,981.165,528.3333333,
1865965,9.64E-13,0,488.3333333,7.712E-13,1.248357424,988.575,528.3333333,
1865965,1.30E-13,0,488.3333333,1.04E-13,1.186017478,996.385,528.3333333,
1865965,1.74E-14,0,488.3333333,1.392E-14,1.12960761,1004.595,528.3333333,
1865965,2.17E-15,0,488.3333333,1.736E-15,1.143200963,1012.955,528.3333333,
1865965,1.01E-16,0,488.3333333,8.08E-17,1.157125457,1021.215,528.3333333,
1865965,-1.78E-16,0,488.3333333,-1.424E-16,1.171393342,1029.375,528.3333333,
1865965,-2.16E-16,0,488.3333333,-1.728E-16,1.186017478,1037.435,528.3333333,
1865965,-2.21E-16,0,488.3333333,-1.768E-16,1.201011378,1045.395,528.5254904,
1865965,-2.22E-16,0,488.3333333,-1.776E-16,1.216389245,1053.255,529.2003959,
1865965,0.426342425,0,488.4866946,0.34107394,1.232166018,1061.015,530.4025234,
1865965,0.945940682,0,489.0588844,0.756752546,1.264980027,1068.625,532.137888,
1865965,1.478137578,0,490.1406665,1.182510062,1.299589603,1076.035,534.4073172,
1865965,2.012059834,0,491.7520854,1.609647867,1.336146273,1083.245,537.2109232,
1865965,2.546217442,0,493.8969145,2.036973954,1.374819103,1090.255,540.5487113,
1865965,3.080406901,0,496.5758093,2.464325521,1.415797317,1097.065,544.4206784,
1865965,3.614578501,0,499.78887,2.891662801,1.459293395,1103.675,548.8268377,
1865965,4.148768005,0,503.5361082,3.319014404,1.505546751,1110.085,553.767191,
1865965,4.682961781,0,507.8175357,3.746369425,1.554828151,1116.295,559.2417288,
1865965,5.217156135,0,512.6331565,4.173724908,1.635111876,1122.255,565.2504458,
1865965,5.751328398,0,517.9829635,4.601062718,1.724137931,1127.915,571.793355,
1865965,6.285517991,0,523.8669511,5.028414393,1.823416507,1133.275,578.8704584,
1865965,6.819711779,0,530.2851285,5.455769423,1.934826884,1138.335,586.4817561,
1865965,7.353906135,0,537.2374993,5.883124908,2.060737527,1143.095,594.6272383,
1865965,7.888100567,0,544.7240643,6.310480454,2.204176334,1147.555,603.3068998,
